# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1155
# prof_ctl_max_us=2973
# prof_disp_max_us=8720
# prof_ws_max_us=35
# prof_tel_max_us=294
# prof_crsf_max_us=507
# prof_can_max_us=2565
# prof_bal_max_us=108
# prof_adrv_max_us=83
# prof_loopgap_max_us=27792
# prof_ctlgap_max_us=23589
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=511
# standing_drive=ch1_ch2_acceleration_arms_v3
# standing_drive_limits=velocity_rad_s:20 turn_rad_s:4.5 accel:12 decel:16 turn_accel:18
# standing_drive_acceleration=angle_k:8.8 rate_k:3.1 speed_k:3 speed_error_limit:8 accel_limit:100 handoff_rate:30
# standing_drive_learning=max_abs_velocity_error:1 velocity_p:0
# standing_drive_arms=gain:0.008333333 limit_fraction:0.1 tau_s:0.08 recovery_priority:1
# standing_drive_arm_error=measured_minus_projection_onto_zero_to_target_interval
# standing_drive_active_flag=16 includes_pd_handoff:1
# pilot_arm_units=planned_center_fraction_after_recovery_priority_before_output_filter
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=4
# sample_size_bytes=240
# sample_count=2381
# checksum=0x64EC16B9
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=18:42:41
# run_start_uptime_ms=338203
# run_end_uptime_ms=385808
# run_duration_ms=47605
# end_reason=bailout_angle_error
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.3265
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x58692019
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags,pilot_arm
204,20,5016,4,0,1,0,0,0,-1.006,5.447,-0.879,8.240,1.0187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,95,115,4.033,3.620,4.081,3.690,0.634,0.471,0.001,1.537,0.0407,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.08,5,0.0000,0.0000,0.0000,0,0.00000
224,20,5016,4,0,1,0,0,0,-0.791,7.022,-1.502,11.841,1.0338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,115,135,4.047,3.630,4.095,3.704,0.668,0.463,0.279,1.598,0.0457,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
244,20,5016,4,0,1,0,0,0,-0.512,9.277,-1.742,16.113,1.0363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,135,155,4.060,3.640,4.109,3.718,0.631,0.468,0.245,1.778,0.0507,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
264,20,5016,4,0,1,0,0,0,-0.154,11.968,-0.805,19.531,1.0253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.837,0.100,0.050,-0.007,-0.047,155,15,4.074,3.650,4.123,3.732,0.758,0.471,0.123,1.711,0.0558,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
284,20,5016,4,0,1,0,0,0,0.269,14.788,-0.861,22.278,1.0077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,15,15,4.088,3.661,4.137,3.746,0.777,0.513,0.118,1.652,0.0613,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
304,20,5016,4,0,1,0,0,0,0.711,17.131,-0.242,23.132,0.9827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,35,35,4.101,3.671,4.151,3.760,0.656,0.611,0.334,1.655,0.0664,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
324,20,5016,4,0,1,0,0,0,1.157,18.612,0.992,22.095,0.9733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,55,55,4.115,3.683,4.165,3.774,0.720,0.632,0.119,1.619,0.0719,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
344,20,5016,4,0,1,0,0,0,1.585,19.431,1.717,21.362,0.9781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,75,75,4.129,3.695,4.179,3.788,0.779,0.606,0.149,1.749,0.0774,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
364,20,5016,4,0,1,0,0,0,1.997,19.796,1.536,20.691,0.9928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,95,95,4.143,3.706,4.193,3.802,0.683,0.709,0.321,1.677,0.0828,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.14,5,0.0000,0.0000,0.0000,0,0.00000
384,20,5016,4,0,1,0,0,0,2.314,20.222,1.659,21.912,0.9865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.233,32.837,0.027,-0.018,-0.051,-0.057,115,115,4.156,3.719,4.207,3.816,0.494,0.629,0.299,1.611,0.0882,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.23,5,0.0000,0.0000,0.0000,0,0.00000
