# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0150
# arm_bal_ki=0.0200
# arm_bal_kd=0.0000
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.5000
# arm_bal_motor_speed=2.00
# arm_bal_vel_deadband=0.10
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.1000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-1.05,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.91,3.54,3.93,3.56,0.00,0.00,0
40,1,-1.05,-0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.91,3.54,3.94,3.57,0.00,0.00,0
61,1,-1.06,-0.13,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.92,3.55,3.96,3.59,0.00,0.00,0
80,1,-1.05,0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.93,3.56,3.97,3.60,0.00,0.00,0
101,1,-1.02,0.29,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.94,3.57,3.98,3.61,0.00,0.00,0
120,1,-0.95,1.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.96,3.58,4.00,3.63,0.00,0.00,0
141,1,-0.85,2.30,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,0.05,3.97,3.59,4.01,3.64,0.00,0.00,0
160,1,-0.77,2.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.02,-0.01,3.98,3.60,4.03,3.66,0.00,0.00,0
181,1,-0.67,3.49,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,3.99,3.61,4.04,3.67,0.00,0.00,0
200,1,-0.55,4.18,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.01,3.62,4.05,3.68,0.00,0.00,0
220,1,-0.41,4.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.02,3.63,4.07,3.70,0.00,0.00,0
241,1,-0.21,6.43,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.04,3.64,4.08,3.71,0.00,0.00,0
261,1,0.06,8.56,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.05,3.65,4.10,3.73,0.00,0.00,0
280,1,0.45,12.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.06,3.66,4.11,3.74,0.00,0.00,0
301,1,0.88,15.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,-0.01,4.08,3.67,4.12,3.75,0.00,0.00,0
320,1,1.33,17.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,0.02,0.06,4.09,3.68,4.14,3.77,0.00,0.00,0
340,1,1.78,18.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.10,3.69,4.15,3.78,0.00,0.00,0
361,1,2.22,19.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.12,3.70,4.17,3.80,0.00,0.00,0
381,1,2.72,20.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.13,3.72,4.18,3.81,0.00,0.00,0
400,1,3.19,20.87,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.15,3.73,4.19,3.82,0.00,0.00,0
421,1,3.56,21.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.16,3.74,4.21,3.84,0.00,0.00,0
440,1,3.95,20.76,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.17,3.75,4.22,3.85,0.00,0.00,0
460,1,4.36,20.83,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,0.06,4.19,3.76,4.24,3.87,0.00,0.00,0
481,1,4.78,21.57,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.00,-0.03,4.20,3.78,4.25,3.88,0.00,0.00,0
501,1,5.26,22.68,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.01,-0.03,4.22,3.79,4.26,3.89,0.00,0.00,0
520,1,5.84,24.31,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.01,-0.03,4.23,3.80,4.28,3.91,0.00,0.00,0
541,1,6.40,25.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.01,-0.03,4.24,3.81,4.29,3.92,0.00,0.00,0
560,1,6.92,25.22,0.00,0.00,0.00,0.0000,0.0000,0.0000,27.73,33.97,-0.01,-0.03,4.26,3.83,4.31,3.94,0.00,0.00,0
