# profile_scope=balance_run
# profile_run_start_uptime_ms=378934
# prof_imu_max_us=1116
# prof_ctl_max_us=81524
# prof_disp_max_us=9740
# prof_ws_max_us=12
# prof_tel_max_us=223
# prof_crsf_max_us=537
# prof_can_max_us=296
# prof_bal_max_us=1195
# prof_adrv_max_us=1846
# prof_loopgap_max_us=13487
# prof_ctlgap_max_us=5390
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=31
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=1203
# checksum=0x29CB8EA4
# checksum_valid=1
# build_date=Sep 14 2026
# build_time=23:18:29
# run_start_uptime_ms=378934
# run_end_uptime_ms=403110
# run_duration_ms=24176
# end_reason=drive disarmed
# test_note=early-wheel-recovery-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.4380
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xA2EED9A2
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
205,20,5005,4,0,1,0,0,0,-1.208,5.482,-1.844,8.606,1.0018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,116,136,4.044,3.621,4.093,3.690,0.617,0.589,0.188,1.519,0.0407,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
225,20,5004,4,0,1,0,0,0,-1.043,6.405,-1.377,9.338,1.0162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,136,156,4.057,3.631,4.107,3.704,0.751,0.535,0.295,1.617,0.0458,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
245,20,5004,4,0,1,0,0,0,-0.789,8.338,-1.394,14.221,1.0335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.932,-0.065,0.080,-0.001,-0.016,156,15,4.070,3.640,4.121,3.718,0.575,0.415,0.091,1.884,0.0505,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
265,20,5004,4,0,1,0,0,0,-0.449,10.937,-0.880,18.616,1.0495,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.932,0.019,0.080,-0.032,-0.016,15,35,4.084,3.651,4.135,3.732,0.664,0.578,0.101,1.786,0.0558,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
285,20,5005,4,0,1,0,0,0,-0.015,14.210,-1.261,23.193,1.0210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,15,15,4.098,3.662,4.149,3.746,0.531,0.579,0.374,1.727,0.0612,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,4
305,20,5004,4,0,1,0,0,0,0.436,16.900,-0.645,23.682,0.9760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,35,35,4.111,3.673,4.163,3.760,0.673,0.550,0.059,1.637,0.0664,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
325,20,5004,4,0,1,0,0,0,0.883,18.632,0.071,22.949,0.9814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,55,55,4.126,3.684,4.177,3.774,0.759,0.516,0.081,1.687,0.0719,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
345,20,5004,4,0,1,0,0,0,1.294,19.324,0.690,20.386,0.9532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,75,75,4.140,3.695,4.191,3.788,0.728,0.502,0.345,1.749,0.0773,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
365,20,5004,4,0,1,0,0,0,1.692,19.591,1.224,20.325,1.0061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,95,95,4.153,3.708,4.205,3.802,0.676,0.608,0.256,1.689,0.0829,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
385,20,5004,4,0,1,0,0,0,2.096,19.916,1.693,20.935,0.9997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.945,21.931,0.050,0.004,-0.049,-0.005,115,115,4.167,3.720,4.219,3.816,0.701,0.596,0.032,1.708,0.0883,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.32,5
