# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# pos_kp=0.4000
# pos_ki=0.1500
# pos_kd=0.0500
# pos_shift_max=5.00
# pos_deadband=0.15
# pos_gate_err=8.00
# origin_leak=0.1500
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_origin_reset=true
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,origin_drift,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,pos_gate,flags
21,1,-0.01,-0.06,0.00,0.00,0.00,0.00,-24.08,-21.36,0.03,-0.02,3.93,3.54,0.00,0.00,0.00,0.00,0
41,1,-0.01,-0.06,0.00,0.00,0.00,0.00,-24.08,-21.36,0.03,-0.05,3.93,3.54,0.00,0.00,0.00,0.00,0
60,1,-0.01,-0.08,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.93,3.54,0.00,0.00,0.00,0.00,0
81,1,-0.00,-0.06,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.94,3.55,0.00,0.00,0.00,0.00,0
100,1,0.01,0.15,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.95,3.56,0.00,0.00,0.00,0.00,0
119,1,0.05,0.59,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.96,3.57,0.00,0.00,0.00,0.00,0
141,1,0.13,1.60,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.98,3.58,0.00,0.00,0.00,0.00,0
161,1,0.22,2.51,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,3.99,3.59,0.00,0.00,0.00,0.00,0
181,1,0.30,2.97,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,-0.05,4.00,3.60,0.00,0.00,0.00,0.00,0
201,1,0.40,3.47,0.00,0.00,0.00,0.00,-24.08,-21.36,-0.01,0.05,4.02,3.61,0.00,0.00,0.00,0.00,0
220,1,0.50,3.94,0.00,0.00,0.00,0.00,-24.08,-21.36,0.01,0.05,4.03,3.62,0.00,0.00,0.00,0.00,0
