# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0250
# arm_bal_ki=0.0200
# arm_bal_kd=0.0000
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.5000
# arm_bal_motor_speed=2.00
# arm_bal_vel_deadband=0.10
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.1500
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
18,1,-0.84,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,-0.00,0.05,3.90,3.55,3.92,3.57,0.00,0.00,0
38,1,-0.84,-0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,-0.00,0.01,3.90,3.55,3.93,3.58,0.00,0.00,0
59,1,-0.83,-0.02,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.91,3.56,3.95,3.60,0.00,0.00,0
78,1,-0.82,0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.92,3.57,3.96,3.61,0.00,0.00,0
98,1,-0.77,0.74,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.93,3.58,3.97,3.62,0.00,0.00,0
118,1,-0.68,1.83,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.94,3.59,3.99,3.64,0.00,0.00,0
138,1,-0.60,2.67,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.96,3.60,4.00,3.65,0.00,0.00,0
159,1,-0.50,3.33,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.97,3.61,4.02,3.67,0.00,0.00,0
178,1,-0.39,3.88,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.23,0.04,0.01,3.98,3.62,4.03,3.68,0.00,0.00,0
198,1,-0.28,4.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.04,0.05,4.00,3.63,4.04,3.69,0.00,0.00,0
218,1,-0.16,4.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.01,3.64,4.06,3.71,0.00,0.00,0
238,1,0.06,6.73,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.02,3.65,4.07,3.72,0.00,0.00,0
258,1,0.42,10.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.04,3.66,4.09,3.74,0.00,0.00,0
279,1,0.85,13.39,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.05,3.67,4.10,3.75,0.00,0.00,0
298,1,1.32,16.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.07,3.68,4.11,3.76,0.00,0.00,0
318,1,1.76,18.15,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.08,3.69,4.13,3.78,0.00,0.00,0
338,1,2.18,18.82,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,0.05,4.09,3.70,4.14,3.79,0.00,0.00,0
358,1,2.60,19.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,0.02,-0.03,4.11,3.71,4.16,3.81,0.00,0.00,0
379,1,3.03,19.88,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,-0.00,-0.03,4.12,3.73,4.17,3.82,0.00,0.00,0
398,1,3.47,20.52,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,-0.00,-0.03,4.14,3.74,4.18,3.83,0.00,0.00,0
418,1,3.93,21.23,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,-0.00,-0.03,4.15,3.75,4.20,3.85,0.00,0.00,0
438,1,4.39,21.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,-0.00,-0.03,4.16,3.76,4.21,3.86,0.00,0.00,0
458,1,4.88,22.47,0.00,0.00,0.00,0.0000,0.0000,0.0000,-258.40,-252.22,-0.00,-0.03,4.18,3.77,4.23,3.88,0.00,0.00,0
