# profile_scope=balance_run
# profile_run_start_uptime_ms=31486
# prof_imu_max_us=969
# prof_ctl_max_us=1211819
# prof_disp_max_us=8742
# prof_ws_max_us=951
# prof_tel_max_us=1315
# prof_crsf_max_us=1210924
# prof_can_max_us=1067
# prof_bal_max_us=71880
# prof_adrv_max_us=1624
# prof_loopgap_max_us=7416496
# prof_ctlgap_max_us=1212030
# stall_events=15
# stall_0=t:7509,uptime_ms:38995,gap_us:1187031,sentinel_us:10003,sec:none,state:1
# stall_1=t:7855,uptime_ms:39341,gap_us:346156,sentinel_us:10002,sec:none,state:1
# stall_2=t:9058,uptime_ms:40544,gap_us:1180658,sentinel_us:10487,sec:none,state:1
# stall_3=t:10208,uptime_ms:41694,gap_us:1150212,sentinel_us:10386,sec:none,state:1
# stall_4=t:11313,uptime_ms:42799,gap_us:1104329,sentinel_us:10173,sec:none,state:1
# stall_5=t:12489,uptime_ms:43975,gap_us:1176867,sentinel_us:10003,sec:none,state:1
# stall_6=t:13642,uptime_ms:45128,gap_us:1152984,sentinel_us:10002,sec:none,state:1
# stall_7=t:14760,uptime_ms:46246,gap_us:1118027,sentinel_us:10002,sec:none,state:1
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=1
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=20
# checksum=0xCD4704EC
# checksum_valid=1
# build_date=Sep 13 2026
# build_time=23:05:27
# run_start_uptime_ms=31486
# run_end_uptime_ms=46762
# run_duration_ms=15276
# end_reason=tip-up timeout / arm tracking
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_kp_low=0.7000
# vel_sp_knee=0.8000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=1.0894
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=2.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=1.40
# arm_assist_gain=0.40
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=8.00
# shed_vel_full=14.00
# transport_fnv1a=0x8B58E877
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
7509,1206,5006,241,0,1,0,0,0,-0.784,-0.079,-0.767,-0.061,0.9847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.900,-0.647,-0.005,-0.002,0.129,-0.093,1206,1206,4.053,3.650,4.093,3.692,0.387,0.186,0.448,1.770,0.0486,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.02,9
7855,346,5004,69,0,1,0,0,0,-0.412,-0.125,-0.565,-0.305,0.9910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.898,-0.649,-0.005,-0.001,0.066,-0.065,1,1,4.080,3.678,4.107,3.706,-0.118,-0.063,-0.164,1.497,0.0603,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.03,5
7856,1,0,0,0,1,0,0,0,-0.412,-0.125,-0.565,-0.305,0.9910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.898,-0.647,0.042,-0.030,0.077,-0.162,0,0,4.080,3.678,4.121,3.720,-0.118,-0.063,-0.164,1.497,0.0603,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.03,0
9057,1201,5093,241,0,1,0,0,0,0.640,-0.033,0.453,0.061,0.9886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.898,-0.647,0.042,-0.030,0.077,-0.162,1201,1201,4.094,3.691,4.135,3.734,0.070,-0.024,0.524,1.893,0.0661,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.02,9
10207,1150,5004,230,0,1,0,0,0,1.044,-0.009,0.918,0.000,0.9906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.898,-0.650,-0.016,-0.017,0.025,-0.051,0,0,4.122,3.720,4.149,3.748,-0.073,0.021,-0.027,1.444,0.0783,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.14,5
11311,1104,5004,220,0,1,0,0,0,1.539,-0.036,1.522,-0.061,0.9926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.897,-0.648,-0.034,-0.001,0.085,-0.093,1,1,4.136,3.734,4.163,3.762,0.132,-0.005,0.281,1.556,0.0843,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.13,5
12489,1178,5007,236,0,1,0,0,0,2.068,-0.048,2.125,-0.183,0.9809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.897,-0.648,-0.003,0.021,0.016,-0.105,1,0,4.150,3.748,4.177,3.776,-0.120,-0.017,0.197,1.565,0.0903,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.13,5
13641,1152,5004,230,0,1,0,0,0,2.542,-0.064,2.605,-0.305,0.9832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.897,-0.647,-0.017,-0.007,0.059,-0.129,1,1,4.165,3.762,4.191,3.790,0.083,0.012,-0.013,1.351,0.0964,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.19,5
14760,1119,5009,224,0,1,0,0,0,3.156,-0.003,3.089,0.122,0.9875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.897,-0.646,-0.009,-0.015,0.030,-0.137,0,0,4.178,3.776,4.205,3.804,0.153,-0.003,0.282,1.686,0.1022,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.13,5
15276,516,5006,103,0,1,0,512,0,3.660,0.010,3.755,0.000,0.9843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.897,-0.647,0.015,0.010,0.013,-0.084,0,0,4.193,3.790,4.219,3.818,-0.067,0.015,0.161,1.435,0.1084,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.13,5
