# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.1500
# arm_bal_frac_rate=0.3000
# arm_bal_early_frac_rate=0.1500
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.15
# arm_bal_decay=0.9950
# arm_sp_track_rate=0.1500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,arm_sp_frac,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-0.27,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.61,0.06,0.02,3.94,3.54,3.95,3.56,0.00,0.00,0
41,1,-0.27,-0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.61,0.06,0.02,3.94,3.54,3.97,3.57,0.00,0.00,0
60,1,-0.27,-0.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.61,0.06,0.02,3.95,3.55,3.98,3.58,0.00,0.00,0
81,1,-0.26,0.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.61,0.06,0.02,3.96,3.56,4.00,3.60,0.00,0.00,0
100,1,-0.23,0.45,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.61,0.06,0.02,3.97,3.57,4.01,3.61,0.00,0.00,0
121,1,-0.15,1.48,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.06,0.01,3.98,3.58,4.02,3.63,0.00,0.00,0
140,1,-0.05,2.44,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,3.99,3.59,4.04,3.64,0.00,0.00,0
161,1,0.04,3.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.00,3.60,4.05,3.65,0.00,0.00,0
179,1,0.14,3.77,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.02,3.61,4.07,3.67,0.00,0.00,0
201,1,0.31,4.61,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.03,3.62,4.08,3.68,0.00,0.00,0
220,1,0.48,5.55,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.05,3.63,4.09,3.70,0.00,0.00,0
241,1,0.68,6.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.06,3.64,4.11,3.71,0.00,0.00,0
260,1,0.93,9.21,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.01,4.07,3.65,4.12,3.72,0.00,0.00,0
281,1,1.28,11.81,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.01,0.05,4.09,3.66,4.14,3.74,0.00,0.00,0
299,1,1.61,14.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.10,3.67,4.15,3.75,0.00,0.00,0
321,1,2.15,16.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.11,3.68,4.16,3.77,0.00,0.00,0
340,1,2.57,18.28,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.13,3.69,4.18,3.78,0.00,0.00,0
361,1,3.01,19.16,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.14,3.70,4.19,3.79,0.00,0.00,0
380,1,3.45,19.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.15,3.71,4.21,3.81,0.00,0.00,0
401,1,3.90,20.59,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.17,3.73,4.22,3.82,0.00,0.00,0
420,1,4.36,21.42,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,0.05,4.18,3.74,4.23,3.84,0.00,0.00,0
440,1,4.83,21.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.07,-0.02,4.20,3.75,4.25,3.85,0.00,0.00,0
461,1,5.29,22.18,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.21,3.76,4.26,3.86,0.00,0.00,0
481,1,5.75,22.55,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.23,3.78,4.28,3.88,0.00,0.00,0
500,1,6.24,23.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.24,3.79,4.29,3.89,0.00,0.00,0
521,1,6.72,23.35,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.25,3.80,4.30,3.91,0.00,0.00,0
540,1,7.21,23.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.27,3.81,4.32,3.92,0.00,0.00,0
560,1,7.71,24.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.28,3.82,4.33,3.93,0.00,0.00,0
581,1,8.22,24.37,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.02,4.29,3.84,4.35,3.95,0.00,0.00,0
600,1,8.72,24.60,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.08,4.31,3.85,4.36,3.96,0.00,0.00,0
621,1,9.23,24.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.32,3.86,4.37,3.98,0.00,0.00,0
641,1,9.75,25.21,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.34,3.88,4.39,3.99,0.00,0.00,0
660,1,10.27,25.44,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.35,3.89,4.40,4.00,0.00,0.00,0
680,1,10.81,26.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.36,3.90,4.42,4.02,0.00,0.00,0
700,1,11.35,26.27,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.38,3.92,4.43,4.03,0.00,0.00,0
721,1,11.89,26.46,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.39,3.93,4.44,4.04,0.00,0.00,0
740,1,12.43,26.57,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.08,4.41,3.94,4.46,4.06,0.00,0.00,0
761,1,12.97,26.76,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,0.02,-0.01,4.42,3.96,4.47,4.07,0.00,0.00,0
780,1,13.52,26.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.43,3.97,4.49,4.08,0.00,0.00,0
801,1,14.06,26.87,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.45,3.98,4.50,4.09,0.00,0.00,0
819,1,14.47,26.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.46,4.00,4.51,4.11,0.00,0.00,0
841,1,15.16,27.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.47,4.01,4.53,4.12,0.00,0.00,0
860,1,15.72,27.33,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.49,4.03,4.54,4.13,0.00,0.00,0
881,1,16.29,27.61,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.50,4.04,4.56,4.14,0.00,0.00,0
900,1,16.85,27.68,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,-0.01,4.52,4.05,4.57,4.16,0.00,0.00,0
921,1,17.41,27.71,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.01,0.03,4.53,4.07,4.58,4.17,0.00,0.00,0
939,1,17.84,27.91,0.00,0.00,0.00,0.0000,0.0000,0.0000,2.47,9.62,-0.00,0.03,4.55,4.08,4.60,4.18,0.00,0.00,0
