# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_early_frac_rate=0.1500
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# arm_sp_track_rate=0.1500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,arm_sp_frac,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,0.28,-0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.00,-0.00,3.88,3.58,3.89,3.60,0.00,0.00,0
40,1,0.28,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.00,-0.00,3.88,3.58,3.90,3.61,0.00,0.00,0
61,1,0.27,-0.18,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.00,-0.00,3.88,3.59,3.92,3.62,0.00,0.00,0
79,1,0.28,0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.00,-0.00,3.89,3.59,3.93,3.64,0.00,0.00,0
101,1,0.38,1.61,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.00,0.02,3.90,3.60,3.95,3.65,0.00,0.00,0
120,1,0.51,3.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.91,3.61,3.96,3.67,0.00,0.00,0
141,1,0.63,3.81,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.93,3.62,3.97,3.68,0.00,0.00,0
160,1,0.75,4.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.94,3.64,3.99,3.69,0.00,0.00,0
181,1,0.87,4.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.95,3.64,4.00,3.71,0.00,0.00,0
200,1,1.07,6.45,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.97,3.65,4.02,3.72,0.00,0.00,0
220,1,1.37,9.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.98,3.66,4.03,3.74,0.00,0.00,0
241,1,1.75,12.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,0.02,3.99,3.68,4.04,3.75,0.00,0.00,0
260,1,2.20,15.30,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.03,-0.04,4.01,3.69,4.06,3.76,0.00,0.00,0
281,1,2.67,17.64,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.02,3.70,4.07,3.78,0.00,0.00,0
301,1,3.13,19.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.03,3.71,4.09,3.79,0.00,0.00,0
320,1,3.57,19.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.05,3.72,4.10,3.81,0.00,0.00,0
340,1,4.00,20.31,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.06,3.73,4.11,3.82,0.00,0.00,0
361,1,4.45,20.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.07,3.75,4.13,3.83,0.00,0.00,0
381,1,4.90,21.27,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.09,3.76,4.14,3.85,0.00,0.00,0
400,1,5.37,22.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.04,4.10,3.77,4.16,3.86,0.00,0.00,0
421,1,5.84,22.59,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,0.01,-0.05,4.12,3.78,4.17,3.88,0.00,0.00,0
440,1,6.33,23.19,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.13,3.80,4.18,3.89,0.00,0.00,0
460,1,6.82,23.61,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.14,3.81,4.20,3.90,0.00,0.00,0
481,1,7.31,23.94,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.16,3.82,4.21,3.92,0.00,0.00,0
501,1,7.80,24.17,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.17,3.83,4.23,3.93,0.00,0.00,0
520,1,8.32,24.73,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.19,3.85,4.24,3.95,0.00,0.00,0
541,1,8.84,25.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.05,-126.92,-0.00,-0.05,4.20,3.86,4.25,3.96,0.00,0.00,0
