# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.1000
# arm_bal_ki=0.0400
# arm_bal_kd=0.0200
# arm_bal_max_frac=0.6000
# arm_bal_speed=4.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.60
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
19,1,0.14,-0.07,0.00,0.00,0.00,0.0000,-4.70,1.94,0.01,-0.02,3.91,3.54,0.00,0.00,0.00,0
38,1,0.14,-0.08,0.00,0.00,0.00,0.0000,-4.70,1.94,0.01,-0.05,3.91,3.54,0.00,0.00,0.00,0
60,1,0.14,-0.16,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.92,3.54,0.00,0.00,0.00,0
80,1,0.15,-0.09,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.93,3.55,0.00,0.00,0.00,0
99,1,0.16,0.12,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.94,3.56,0.00,0.00,0.00,0
120,1,0.18,0.31,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.95,3.57,0.00,0.00,0.00,0
139,1,0.25,1.20,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.97,3.58,0.00,0.00,0.00,0
160,1,0.34,2.41,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.98,3.59,0.00,0.00,0.00,0
179,1,0.46,3.36,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,-0.05,3.99,3.60,0.00,0.00,0.00,0
199,1,0.58,4.03,0.00,0.00,0.00,0.0000,-4.70,1.94,-0.02,0.04,4.00,3.61,0.00,0.00,0.00,0
219,1,0.70,4.59,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.02,3.62,0.00,0.00,0.00,0
240,1,0.84,5.27,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.03,3.63,0.00,0.00,0.00,0
259,1,1.03,6.72,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.05,3.64,0.00,0.00,0.00,0
280,1,1.33,9.40,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.06,3.65,0.00,0.00,0.00,0
299,1,1.73,12.76,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.07,3.66,0.00,0.00,0.00,0
319,1,2.19,15.79,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.09,3.67,0.00,0.00,0.00,0
339,1,2.67,18.10,0.00,0.00,0.00,0.0000,-4.70,1.94,0.03,0.04,4.10,3.68,0.00,0.00,0.00,0
360,1,3.12,19.33,0.00,0.00,0.00,0.0000,-4.70,1.95,0.03,-0.03,4.12,3.70,0.00,0.00,0.00,0
380,1,3.55,19.81,0.00,0.00,0.00,0.0000,-4.70,1.95,-0.00,-0.03,4.13,3.71,0.00,0.00,0.00,0
400,1,3.97,20.15,0.00,0.00,0.00,0.0000,-4.70,1.95,-0.00,-0.03,4.14,3.72,0.00,0.00,0.00,0
418,1,4.40,20.62,0.00,0.00,0.00,0.0000,-4.70,1.95,-0.00,-0.03,4.16,3.73,0.00,0.00,0.00,0
