# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.1000
# vel_trim_max=2.00
# vel_trim_filter=0.0200
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,0.17,-0.12,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.02,0.11,3.94,3.56,3.95,3.58,0.00,0.00,0
39,1,0.17,-0.15,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.02,0.11,3.94,3.56,3.97,3.59,0.00,0.00,0
59,1,0.17,-0.16,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.02,0.02,3.94,3.57,3.98,3.60,0.00,0.00,0
80,1,0.19,0.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,3.95,3.58,3.99,3.62,0.00,0.00,0
98,1,0.21,0.25,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,3.96,3.59,4.01,3.63,0.00,0.00,0
120,1,0.29,1.33,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,3.98,3.59,4.02,3.65,0.00,0.00,0
140,1,0.38,2.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,3.99,3.61,4.04,3.66,0.00,0.00,0
159,1,0.48,3.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,4.00,3.62,4.05,3.67,0.00,0.00,0
180,1,0.58,3.64,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,4.02,3.62,4.06,3.69,0.00,0.00,0
199,1,0.70,4.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,-154.66,-147.92,0.04,0.02,4.03,3.63,4.08,3.70,0.00,0.00,0
