# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# pos_kp=0.4000
# pos_ki=0.1500
# pos_kd=0.0500
# pos_shift_max=5.00
# pos_deadband=0.15
# pos_gate_err=8.00
# origin_leak_fast=0.1500
# origin_leak_slow=0.0200
# base_sp_fwd=89.50
# base_sp_tip=84.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_origin_reset=true
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,origin_drift,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,pos_gate,flags
17,1,0.44,-0.05,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.93,3.54,0.00,0.00,0.00,0.00,0
39,1,0.44,-0.06,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.93,3.54,0.00,0.00,0.00,0.00,0
58,1,0.45,-0.01,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.93,3.54,0.00,0.00,0.00,0.00,0
79,1,0.45,0.02,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.94,3.55,0.00,0.00,0.00,0.00,0
98,1,0.46,0.13,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.96,3.56,0.00,0.00,0.00,0.00,0
119,1,0.49,0.47,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.97,3.57,0.00,0.00,0.00,0.00,0
137,1,0.55,1.29,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.00,3.98,3.58,0.00,0.00,0.00,0.00,0
159,1,0.63,2.19,0.00,0.00,0.00,0.00,-29.72,-27.01,0.02,0.02,3.99,3.59,0.00,0.00,0.00,0.00,0
178,1,0.72,2.87,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.01,3.60,0.00,0.00,0.00,0.00,0
199,1,0.81,3.35,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.02,3.61,0.00,0.00,0.00,0.00,0
218,1,0.90,3.61,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.03,3.62,0.00,0.00,0.00,0.00,0
239,1,1.04,4.46,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.05,3.63,0.00,0.00,0.00,0.00,0
258,1,1.23,6.10,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.06,3.64,0.00,0.00,0.00,0.00,0
279,1,1.50,8.73,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.07,3.65,0.00,0.00,0.00,0.00,0
298,1,1.91,12.09,0.00,0.00,0.00,0.00,-29.72,-27.01,-0.02,0.02,4.09,3.66,0.00,0.00,0.00,0.00,0
319,1,2.36,15.27,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.02,-0.03,4.10,3.67,0.00,0.00,0.00,0.00,0
338,1,2.82,17.49,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.12,3.68,0.00,0.00,0.00,0.00,0
359,1,3.27,18.77,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.13,3.69,0.00,0.00,0.00,0.00,0
378,1,3.68,19.16,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.15,3.70,0.00,0.00,0.00,0.00,0
398,1,4.10,19.52,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.16,3.72,0.00,0.00,0.00,0.00,0
419,1,4.54,20.26,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.17,3.73,0.00,0.00,0.00,0.00,0
439,1,5.00,21.11,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.19,3.74,0.00,0.00,0.00,0.00,0
458,1,5.46,21.79,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,-0.03,4.20,3.75,0.00,0.00,0.00,0.00,0
479,1,5.93,22.29,0.00,0.00,0.00,0.00,-29.72,-27.00,0.04,0.03,4.21,3.76,0.00,0.00,0.00,0.00,0
498,1,6.42,22.92,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.23,3.78,0.00,0.00,0.00,0.00,0
518,1,6.91,23.43,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.24,3.79,0.00,0.00,0.00,0.00,0
539,1,7.41,23.68,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.25,3.80,0.00,0.00,0.00,0.00,0
559,1,7.90,23.94,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.27,3.82,0.00,0.00,0.00,0.00,0
578,1,8.40,24.24,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.28,3.83,0.00,0.00,0.00,0.00,0
599,1,8.90,24.46,0.00,0.00,0.00,0.00,-29.72,-27.00,-0.10,0.03,4.30,3.84,0.00,0.00,0.00,0.00,0
