# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1164
# prof_ctl_max_us=625
# prof_disp_max_us=8853
# prof_ws_max_us=39
# prof_tel_max_us=318
# prof_crsf_max_us=382
# prof_can_max_us=359
# prof_bal_max_us=126
# prof_adrv_max_us=84
# prof_loopgap_max_us=44962
# prof_ctlgap_max_us=41268
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=7
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=1428
# checksum=0x1D0F7192
# checksum_valid=1
# build_date=Sep 14 2026
# build_time=22:11:28
# run_start_uptime_ms=9845
# run_end_uptime_ms=38676
# run_duration_ms=28831
# end_reason=arms disarmed
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.3112
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x6A821A10
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
210,20,5002,4,0,1,0,0,0,-7.044,5.019,-6.477,7.385,1.0195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,115,135,4.036,3.618,4.086,3.687,0.643,0.444,0.074,1.613,0.0405,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
230,20,5002,4,0,1,0,0,0,-6.872,6.020,-6.940,8.606,0.9943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,135,155,4.050,3.628,4.100,3.701,0.573,0.484,0.401,1.631,0.0455,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
250,20,5002,4,0,1,0,0,0,-6.662,7.279,-6.680,11.230,1.0411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.016,-0.001,0.008,-0.018,155,15,4.063,3.638,4.114,3.715,0.702,0.471,0.245,1.725,0.0504,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
270,20,5002,4,0,1,0,0,0,-6.266,10.389,-6.550,18.799,1.0445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,15,15,4.077,3.648,4.128,3.729,0.820,0.506,0.128,1.782,0.0556,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,4
290,20,5002,4,0,1,0,0,0,-5.848,13.568,-6.735,22.278,1.0097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,35,35,4.091,3.658,4.142,3.743,0.724,0.539,0.319,1.615,0.0607,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
310,20,5000,4,0,1,0,0,0,-5.405,16.299,-6.781,23.254,0.9824,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,55,55,4.104,3.669,4.156,3.757,0.713,0.502,0.265,1.769,0.0659,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
330,20,5002,4,0,1,0,0,0,-4.984,17.912,-6.219,21.729,0.9787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,75,75,4.118,3.680,4.170,3.771,0.828,0.573,0.076,1.660,0.0712,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
350,20,5000,4,0,1,0,0,0,-4.574,18.799,-4.600,20.813,0.9711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,95,95,4.132,3.692,4.184,3.785,0.706,0.507,0.285,1.750,0.0768,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
370,20,5002,4,0,1,0,0,0,-4.144,19.366,-3.371,20.996,1.0007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,115,115,4.146,3.703,4.198,3.799,0.679,0.556,0.251,1.692,0.0822,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
390,20,5003,4,0,1,0,0,0,-3.714,19.855,-2.994,21.118,0.9863,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.001,0.003,-0.029,135,135,4.159,3.715,4.212,3.813,0.715,0.580,0.102,1.635,0.0876,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
410,20,5000,4,0,1,0,0,0,-3.259,20.599,-3.480,23.193,1.0217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.688,-0.018,-0.007,0.003,-0.028,155,15,4.174,3.727,4.226,3.827,0.721,0.677,0.141,1.736,0.0934,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
435,25,5002,5,0,1,0,0,0,-2.809,21.322,-3.478,23.132,0.9820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.013,-0.007,-0.008,-0.028,20,40,4.188,3.739,4.240,3.841,0.726,0.657,0.358,1.748,0.0989,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
455,20,5002,4,0,1,0,0,0,-2.349,21.975,-2.659,23.682,0.9840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.013,-0.007,-0.008,-0.028,40,60,4.205,3.754,4.254,3.855,0.713,0.615,0.122,1.648,0.1056,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
475,20,5002,4,0,1,0,0,0,-1.883,22.399,-2.405,23.926,1.0183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.013,-0.007,-0.008,-0.028,60,80,4.219,3.767,4.268,3.869,0.612,0.593,0.096,1.702,0.1114,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
495,20,5002,4,0,1,0,0,0,-1.393,23.045,-1.693,24.963,0.9837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.013,-0.007,-0.008,-0.028,80,100,4.233,3.779,4.282,3.883,0.584,0.687,0.374,1.735,0.1170,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
515,20,5002,4,0,1,0,0,0,-0.895,23.457,-0.379,24.841,0.9957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.013,-0.007,-0.008,-0.028,100,120,4.246,3.792,4.296,3.897,0.571,0.638,0.165,1.673,0.1225,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.41,5
535,20,5002,4,0,1,0,0,0,-0.410,23.765,-0.907,24.658,0.9869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,0.071,0.042,-0.006,-0.027,15,15,4.261,3.805,4.310,3.911,0.706,0.619,0.091,1.753,0.1285,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
555,20,5002,4,0,1,0,0,0,0.076,24.057,-0.441,24.963,0.9830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,0.071,0.042,-0.006,-0.027,35,35,4.274,3.817,4.324,3.925,0.679,0.666,0.334,1.720,0.1341,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
575,20,5002,4,0,1,0,0,0,0.563,24.243,0.284,24.658,0.9866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,0.071,0.031,-0.006,-0.019,55,15,4.288,3.830,4.338,3.939,0.610,0.651,0.291,1.691,0.1396,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
595,20,5002,4,0,1,0,0,0,1.054,24.355,1.114,24.780,0.9919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,15,35,4.302,3.843,4.352,3.953,0.800,0.596,0.040,1.685,0.1454,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
615,20,5002,4,0,1,0,0,0,1.568,24.739,1.022,25.818,0.9990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,35,55,4.316,3.856,4.366,3.967,0.712,0.638,0.367,1.777,0.1513,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,4
635,20,5002,4,0,1,0,0,0,2.209,25.169,1.901,26.001,0.9935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,55,75,4.330,3.869,4.380,3.981,0.651,0.699,0.229,1.754,0.1571,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,4
655,20,5002,4,0,1,0,0,0,2.715,25.370,1.890,25.879,0.9918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,75,95,4.344,3.881,4.394,3.995,0.810,0.655,0.044,1.732,0.1628,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
675,20,5002,4,0,1,0,0,0,3.237,25.804,2.073,27.039,0.9853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,95,115,4.358,3.895,4.408,4.009,0.664,0.577,0.291,1.631,0.1688,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.44,5
695,20,5000,4,0,1,0,0,0,3.773,26.049,3.881,26.978,0.9955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,115,135,4.373,3.909,4.422,4.023,0.719,0.640,0.241,1.711,0.1747,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.65,5
715,20,5002,4,0,1,0,0,0,4.296,26.200,3.903,26.611,0.9720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.727,9.688,-0.043,0.031,-0.013,-0.019,135,155,4.386,3.922,4.436,4.037,0.773,0.639,-0.022,1.703,0.1804,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.65,5
