# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.1000
# vel_trim_max=2.00
# vel_trim_filter=0.0200
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-2.49,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,0.04,0.03,3.94,3.53,3.95,3.55,0.00,0.00,0
38,1,-2.49,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,0.04,0.03,3.94,3.53,3.97,3.56,0.00,0.00,0
60,1,-2.49,-0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,0.04,-0.03,3.94,3.54,3.98,3.58,0.00,0.00,0
79,1,-2.48,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,3.95,3.55,3.99,3.59,0.00,0.00,0
99,1,-2.48,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,3.96,3.56,4.01,3.60,0.00,0.00,0
120,1,-2.48,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,3.98,3.57,4.02,3.62,0.00,0.00,0
140,1,-2.42,0.75,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,3.99,3.58,4.04,3.63,0.00,0.00,0
159,1,-2.33,1.97,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,4.00,3.59,4.05,3.65,0.00,0.00,0
178,1,-2.24,2.75,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,4.02,3.60,4.06,3.66,0.00,0.00,0
200,1,-2.14,3.48,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-246.00,-0.00,-0.03,4.03,3.61,4.08,3.67,0.00,0.00,0
220,1,-2.02,4.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.00,0.06,4.04,3.62,4.09,3.69,0.00,0.00,0
239,1,-1.88,4.58,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.06,3.63,4.11,3.70,0.00,0.00,0
259,1,-1.71,5.63,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.07,3.64,4.12,3.72,0.00,0.00,0
279,1,-1.46,7.79,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.08,3.65,4.13,3.73,0.00,0.00,0
298,1,-1.12,10.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.10,3.66,4.15,3.74,0.00,0.00,0
320,1,-0.57,14.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.11,3.67,4.16,3.76,0.00,0.00,0
340,1,-0.12,17.12,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.13,3.68,4.18,3.77,0.00,0.00,0
359,1,0.20,18.19,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.06,4.14,3.69,4.19,3.79,0.00,0.00,0
379,1,0.61,18.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.01,0.01,4.15,3.70,4.20,3.80,0.00,0.00,0
399,1,1.01,19.19,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.17,3.71,4.22,3.81,0.00,0.00,0
419,1,1.44,19.84,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.18,3.73,4.23,3.83,0.00,0.00,0
439,1,1.89,20.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.19,3.74,4.25,3.84,0.00,0.00,0
459,1,2.36,21.45,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.21,3.75,4.26,3.86,0.00,0.00,0
479,1,2.82,21.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.22,3.76,4.27,3.87,0.00,0.00,0
499,1,3.28,22.42,0.00,0.00,0.00,0.0000,0.0000,0.0000,-252.42,-245.99,-0.02,0.01,4.23,3.77,4.29,3.88,0.00,0.00,0
