# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1127
# prof_ctl_max_us=749
# prof_disp_max_us=50598
# prof_ws_max_us=22
# prof_tel_max_us=317
# prof_crsf_max_us=503
# prof_can_max_us=361
# prof_bal_max_us=118
# prof_adrv_max_us=22
# prof_loopgap_max_us=53136
# prof_ctlgap_max_us=44494
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=127
# standing_drive=ch1_ch2_velocity_feedforward_v1
# standing_drive_limits=velocity_rad_s:1 turn_rad_s:0.5 accel:0.5 decel:0.75 turn_accel:0.75
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=3
# sample_size_bytes=236
# sample_count=2881
# checksum=0x90FA4B79
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=15:41:55
# run_start_uptime_ms=61344
# run_end_uptime_ms=118949
# run_duration_ms=57605
# end_reason=arms disarmed
# test_note=standing-drive-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.5725
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xED14696F
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags
204,20,5004,4,0,1,0,0,0,-1.351,5.779,-1.281,8.728,1.0047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,76,96,4.035,3.621,4.084,3.691,0.678,0.494,0.064,1.636,0.0404,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,4,0.0000,0.0000,0.0000,0
224,20,5004,4,0,1,0,0,0,-1.096,8.012,-2.485,14.404,1.0531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,96,116,4.048,3.631,4.098,3.705,0.600,0.601,0.334,1.596,0.0454,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
244,20,5004,4,0,1,0,0,0,-0.677,11.350,-1.953,18.433,1.0028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,116,136,4.062,3.641,4.112,3.719,0.768,0.498,0.286,1.860,0.0505,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,4,0.0000,0.0000,0.0000,0
264,20,5004,4,0,1,0,0,0,-0.295,13.765,-1.087,19.836,1.0164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,136,156,4.076,3.652,4.126,3.733,0.741,0.552,0.086,1.753,0.0558,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
284,20,5003,4,0,1,0,0,0,0.121,15.996,-1.043,21.851,0.9926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,0.001,-0.039,-0.010,-0.008,16,16,4.091,3.663,4.140,3.747,0.725,0.596,0.256,1.613,0.0615,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
304,20,5004,4,0,1,0,0,0,0.548,17.776,-0.666,22.156,0.9876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,16,36,4.104,3.674,4.154,3.761,0.581,0.583,0.292,1.645,0.0666,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
324,20,5001,4,0,1,0,0,0,0.992,19.043,1.404,22.156,0.9862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,36,56,4.117,3.686,4.168,3.775,0.730,0.550,0.086,1.707,0.0720,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
344,20,5004,4,0,1,0,0,0,1.421,19.843,0.789,21.667,0.9753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,56,76,4.132,3.697,4.182,3.789,0.623,0.586,0.262,1.691,0.0776,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
364,20,5004,4,0,1,0,0,0,1.863,20.398,2.646,22.278,0.9997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,76,96,4.146,3.709,4.196,3.803,0.686,0.625,0.281,1.548,0.0832,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
384,20,5004,4,0,1,0,0,0,2.303,20.830,2.122,21.667,0.9825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.624,4.216,-0.028,-0.039,-0.007,-0.008,96,116,4.159,3.721,4.210,3.817,0.680,0.576,0.239,1.754,0.0884,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,2.26,5,0.0000,0.0000,0.0000,0
