# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0250
# arm_bal_ki=0.0400
# arm_bal_kd=0.0000
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.5000
# arm_bal_motor_speed=2.00
# arm_bal_vel_deadband=0.10
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.4000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.50
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
18,1,1.21,-0.01,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.90,3.54,3.92,3.55,0.00,0.00,0
38,1,1.15,-0.01,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.90,3.54,3.93,3.57,0.00,0.00,0
58,1,1.10,0.01,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.91,3.55,3.94,3.58,0.00,0.00,0
78,1,1.05,0.06,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.92,3.55,3.96,3.59,0.00,0.00,0
98,1,1.00,0.08,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.93,3.56,3.97,3.61,0.00,0.00,0
119,1,0.97,0.27,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.94,3.57,3.99,3.62,0.00,0.00,0
138,1,0.97,0.80,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,-0.02,3.95,3.59,4.00,3.64,0.00,0.00,0
158,1,1.00,1.79,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,3.97,3.60,4.01,3.65,0.00,0.00,0
178,1,1.04,2.77,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,3.98,3.61,4.03,3.66,0.00,0.00,0
198,1,1.08,3.46,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,3.99,3.62,4.04,3.68,0.00,0.00,0
219,1,1.15,4.04,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,4.01,3.63,4.06,3.69,0.00,0.00,0
238,1,1.22,4.61,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,4.02,3.64,4.07,3.71,0.00,0.00,0
258,1,1.33,5.41,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,4.03,3.64,4.08,3.72,0.00,0.00,0
278,1,1.49,6.93,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,4.05,3.65,4.10,3.73,0.00,0.00,0
298,1,1.77,9.88,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.92,0.03,0.02,4.06,3.66,4.11,3.75,0.00,0.00,0
319,1,2.13,13.12,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,0.03,0.00,4.07,3.67,4.13,3.76,0.00,0.00,0
338,1,2.55,16.10,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.09,3.69,4.14,3.78,0.00,0.00,0
358,1,2.94,17.87,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.10,3.70,4.15,3.79,0.00,0.00,0
378,1,3.30,18.51,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.12,3.71,4.17,3.80,0.00,0.00,0
398,1,3.67,19.14,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.13,3.72,4.18,3.82,0.00,0.00,0
419,1,4.06,19.93,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.14,3.73,4.20,3.83,0.00,0.00,0
438,1,4.47,20.79,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.16,3.74,4.21,3.85,0.00,0.00,0
458,1,4.90,21.49,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.00,4.17,3.76,4.22,3.86,0.00,0.00,0
478,1,5.33,22.17,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.05,0.01,4.18,3.77,4.24,3.87,0.00,0.00,0
498,1,5.77,22.70,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.20,3.78,4.25,3.89,0.00,0.00,0
519,1,6.21,23.08,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.21,3.79,4.27,3.90,0.00,0.00,0
538,1,6.66,23.48,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.23,3.81,4.28,3.92,0.00,0.00,0
558,1,7.12,23.90,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.24,3.82,4.29,3.93,0.00,0.00,0
578,1,7.58,24.16,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.25,3.83,4.31,3.94,0.00,0.00,0
598,1,8.04,24.43,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.27,3.84,4.32,3.96,0.00,0.00,0
619,1,8.52,24.80,0.00,0.00,0.00,0.0065,0.0180,0.1640,-214.45,-207.91,-0.03,0.01,4.28,3.86,4.34,3.97,0.00,0.00,0
