[Balance] --- Log dump (52434 bytes, 574 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
17,1,-0.22,-0.16,88.50,0.00,0.00,0.000,34.98,40.94,-0.06,-0.01,3.92,3.54,0.00,0.00,0.00,0
39,1,-0.22,-0.16,88.50,0.00,0.00,0.000,34.98,40.94,-0.06,-0.00,3.92,3.54,0.00,0.00,0.00,0
58,1,-0.22,-0.19,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.92,3.54,0.00,0.00,0.00,0
79,1,-0.23,-0.26,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.93,3.55,0.00,0.00,0.00,0
98,1,-0.22,-0.08,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.95,3.56,0.00,0.00,0.00,0
119,1,-0.19,0.30,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.96,3.57,0.00,0.00,0.00,0
137,1,-0.09,1.63,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.97,3.58,0.00,0.00,0.00,0
159,1,-0.01,2.33,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,3.98,3.59,0.00,0.00,0.00,0
178,1,0.08,2.91,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.00,4.00,3.60,0.00,0.00,0.00,0
198,1,0.18,3.42,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.01,4.01,3.61,0.00,0.00,0.00,0
219,1,0.29,3.91,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.02,3.62,0.00,0.00,0.00,0
239,1,0.41,4.49,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.04,3.63,0.00,0.00,0.00,0
258,1,0.59,5.87,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.05,3.64,0.00,0.00,0.00,0
278,1,0.82,7.67,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.07,3.65,0.00,0.00,0.00,0
299,1,1.15,10.62,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.08,3.66,0.00,0.00,0.00,0
319,1,1.55,13.60,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.10,3.67,0.00,0.00,0.00,0
338,1,2.01,16.41,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,0.01,4.11,3.68,0.00,0.00,0.00,0
359,1,2.45,18.06,88.50,0.00,0.00,0.000,34.98,40.94,-0.01,-0.01,4.12,3.69,0.00,0.00,0.00,0
378,1,2.89,18.90,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.14,3.71,0.00,0.00,0.00,0
398,1,3.32,19.54,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.15,3.72,0.00,0.00,0.00,0
419,1,3.75,20.10,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.16,3.73,0.00,0.00,0.00,0
439,1,4.19,20.76,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.18,3.74,0.00,0.00,0.00,0
458,1,4.65,21.46,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.19,3.76,0.00,0.00,0.00,0
479,1,5.13,22.09,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.20,3.77,0.00,0.00,0.00,0
498,1,5.60,22.54,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,-0.01,4.22,3.78,0.00,0.00,0.00,0
519,1,6.09,23.04,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.02,4.23,3.79,0.00,0.00,0.00,0
538,1,6.58,23.46,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.02,4.25,3.80,0.00,0.00,0.00,0
559,1,7.07,23.75,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.02,4.26,3.82,0.00,0.00,0.00,0
578,1,7.56,23.97,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.02,4.28,3.83,0.00,0.00,0.00,0
599,1,8.06,24.26,88.50,0.00,0.00,0.000,34.98,40.94,-0.00,0.02,4.29,3.84,0.00,0.00,0.00,0
