# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1165
# prof_ctl_max_us=3085
# prof_disp_max_us=8395
# prof_ws_max_us=26
# prof_tel_max_us=360
# prof_crsf_max_us=113
# prof_can_max_us=2878
# prof_bal_max_us=53
# prof_adrv_max_us=0
# prof_loopgap_max_us=23167
# prof_ctlgap_max_us=10465
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=255
# standing_drive=ch1_ch2_velocity_response_v2
# standing_drive_limits=velocity_rad_s:2 turn_rad_s:1.5 accel:1.5 decel:2 turn_accel:3
# standing_drive_velocity_kp_low=1.0
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=3
# sample_size_bytes=236
# sample_count=1666
# checksum=0x298924B0
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=15:58:43
# run_start_uptime_ms=349973
# run_end_uptime_ms=383279
# run_duration_ms=33306
# end_reason=drive disarmed
# test_note=standing-drive-response-v2
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.8923
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x72A5CE52
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags
204,19,5002,4,0,1,0,0,0,-2.070,5.822,-1.297,9.155,1.0250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,75,95,4.036,3.623,4.084,3.694,0.766,0.526,0.102,1.589,0.0406,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
224,20,5003,4,0,1,0,0,0,-1.802,7.978,-2.341,14.648,1.0460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,95,115,4.049,3.633,4.098,3.708,0.655,0.517,0.369,1.784,0.0455,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
244,20,5003,4,0,1,0,0,0,-1.464,10.903,-3.290,19.348,1.0424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,115,135,4.062,3.643,4.112,3.722,0.642,0.461,0.233,1.845,0.0505,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
264,20,5003,4,0,1,0,0,0,-1.051,13.946,-1.799,22.034,1.0032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,135,155,4.076,3.654,4.126,3.736,0.567,0.602,0.051,1.761,0.0558,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
285,21,5003,4,0,1,0,0,0,-0.603,16.557,-1.817,23.376,0.9936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.037,-0.079,-0.011,-0.054,16,16,4.090,3.665,4.140,3.750,0.633,0.573,0.289,1.613,0.0613,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
304,19,5002,4,0,1,0,0,0,-0.180,18.261,-2.189,22.339,0.9781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,15,35,4.104,3.677,4.154,3.764,0.720,0.612,0.313,1.641,0.0666,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
324,20,5003,4,0,1,0,0,0,0.251,19.217,0.785,21.545,0.9804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,35,55,4.117,3.688,4.168,3.778,0.661,0.618,0.087,1.717,0.0719,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
344,20,5003,4,0,1,0,0,0,0.691,19.877,1.036,21.545,0.9858,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,55,75,4.131,3.700,4.182,3.792,0.677,0.532,0.254,1.740,0.0774,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
364,20,5003,4,0,1,0,0,0,1.113,20.313,0.642,21.729,1.0023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,75,95,4.145,3.712,4.196,3.806,0.621,0.617,0.294,1.506,0.0830,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
385,21,5003,4,0,1,0,0,0,1.552,20.994,0.412,22.705,0.9837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,96,116,4.158,3.724,4.210,3.820,0.732,0.567,0.245,1.681,0.0884,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.28,5,0.0000,0.0000,0.0000,0
404,19,5002,4,0,1,0,0,0,1.999,21.511,1.756,23.193,1.0036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.949,6.125,-0.047,-0.079,-0.016,-0.054,115,135,4.173,3.736,4.224,3.834,0.794,0.632,0.110,1.703,0.0941,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
