time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
5.72,88.93715240182564,-0.03321125586900239,-1.2499747267640284,1.2499747267640284,-1.25,1.25,0.1424183857911506,-0.1424183857911506,9,1.0,-0.15410607840812046,88.8677629894961,-0.15410608053207397,0.0
5.74,88.93564365927497,-0.10837611365579103,-1.2499849189679286,1.2499849189679286,-1.25,1.25,0.1423898767370483,-0.1423898767370483,9,1.0,-0.15410607902102771,88.8677629894961,-0.1941060721874237,0.0
5.76,88.93166571868329,-0.26558788448013027,-1.2499910008544775,1.2499910008544775,-1.25,1.25,0.14237286482230413,-0.14237286482230413,9,1.0,-0.1656488390689675,88.8677629894961,-0.23410606384277344,0.0
5.78,88.92383492002848,-0.48324126563250913,-1.2499946300346187,1.2499946300346187,-1.25,1.25,0.14236271347893031,-0.14236271347893031,9,1.0,-0.18540347542164962,88.8677629894961,-0.27410605549812317,0.0
5.8,88.91111269096706,-0.7471056356843812,-1.2499967956370832,1.2499967956370832,-1.25,1.25,0.1423566559738344,-0.1423566559738344,9,1.0,-0.21100029473101028,88.8677629894961,-0.3141060471534729,0.0
5.82,88.89268277615169,-1.0482331377175553,-1.2499980878942463,1.2499980878942463,-1.25,1.25,0.14235304134226742,-0.14235304134226742,9,1.0,-0.24075342380840714,88.8677629894961,-0.35410603880882263,0.0
5.84,88.86786303556681,-1.3814825396652772,-1.2499988590092608,1.2499988590092608,-1.25,1.25,0.1423508844210663,-0.1423508844210663,9,1.0,-0.273463480290504,88.8677629894961,-0.39410603046417236,0.0
5.86,88.83604158548667,-1.7444819393941404,-1.2499993191486065,1.2499993191486065,-1.2799999713897705,1.2799999713897705,0.14234959734406635,-0.14234959734406635,9,1.0,-0.30827718644373586,88.8677629894961,-0.4341060221195221,0.0
5.88,88.80692697590581,-1.7380305643317053,-1.2620979979697697,1.2620979979697697,-1.309999942779541,1.309999942779541,0.19383064619143775,-0.19383064619143775,9,1.0,-0.3445874940799237,88.8677629894961,-0.4741060137748718,0.0
5.9,88.7753386773942,-1.9522886495712894,-1.2814159194770665,1.2814159194770665,-1.3399999141693115,1.3399999141693115,0.22506879610377156,-0.22506879610377156,9,1.0,-0.3819625303301574,88.8677629894961,-0.514106035232544,0.0
5.92,88.73754562706905,-2.3311526048153377,-1.305041703681507,1.305041703681507,-1.369999885559082,1.369999885559082,0.2441708751082619,-0.2441708751082619,9,1.0,-0.42009505606927205,88.8677629894961,-0.5541060566902161,0.0
5.94,88.6904283974139,-2.837453614352641,-1.3309895632893292,1.3309895632893292,-1.3999998569488525,1.3999998569488525,0.25667027788714647,-0.25667027788714647,9,1.0,-0.4587664832746992,88.8677629894961,-0.5941060781478882,0.0
