time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
6.82,30.86724283882675,-7.565701729883603,-0.9008909549299522,0.9008909549299522,-0.9189338684082031,0.9189338684082031,2.7552235873426065,-2.7552235873426065,3,1.0,3.144466469424831e-31,84.62000274658203,0.0,1.0
6.84,30.71894378694297,-7.559866423852291,-0.8976515539806407,0.8976515539806407,-0.9157338738441467,0.9157338738441467,2.7593789315524813,-2.7593789315524813,3,1.0,2.237070766021176e-31,84.62000274658203,0.0,1.0
6.86,30.57069845113568,-7.554134025342711,-0.894412377598802,0.894412377598802,-0.9125338792800903,0.9125338792800903,2.7635143379247857,-2.7635143379247857,3,1.0,1.5915213791743706e-31,84.62000274658203,0.0,1.0
6.88,30.42250496132262,-7.548503735914164,-0.8911734011321115,0.8911734011321115,-0.9093338847160339,0.9093338847160339,2.767632619449347,-2.767632619449347,3,1.0,1.1322575659392954e-31,84.62000274658203,0.0,1.0
6.9,30.274361665549783,-7.5429562563221255,-0.8879346012222986,0.8879346012222986,-0.9061338901519775,0.9061338901519775,2.77173492327347,-2.77173492327347,3,1.0,8.055230752174005e-32,84.62000274658203,0.0,1.0
6.92,30.126267363990628,-7.537467081274434,-0.8846959608272532,0.8846959608272532,-0.9029338955879211,0.9029338955879211,2.775821241865108,-2.775821241865108,3,1.0,5.730740462479597e-32,84.62000274658203,0.0,1.0
6.94,29.97822132563404,-7.532014759734634,-0.881457470340476,0.881457470340476,-0.8997339010238647,0.8997339010238647,2.7798909574464137,-2.7798909574464137,3,1.0,4.077026128573335e-32,84.62000274658203,0.0,1.0
6.96,29.83022318618914,-7.526584534546111,-0.8782191263964673,0.8782191263964673,-0.8965339064598083,0.8965339064598083,2.7839432745221138,-2.7839432745221138,3,1.0,2.900522569796774e-32,84.62000274658203,0.0,1.0
6.98,29.682272807446022,-7.521168677902507,-0.87498092974587,0.87498092974587,-0.893333911895752,0.893333911895752,2.787977490564939,-2.787977490564939,3,1.0,2.0635215258834844e-32,84.62000274658203,0.0,1.0
7.0,29.534370149614613,-7.515765002369161,-0.8717428831488077,0.8717428831488077,-0.8901339173316956,0.8901339173316956,2.791993116958472,-2.791993116958472,3,1.0,1.4680530784778035e-32,84.62000274658203,0.0,1.0
7.0200000000000005,29.38651518077052,-7.510374761722853,-0.8685049897808909,0.8685049897808909,-0.8869339227676392,0.8869339227676392,2.795989892179082,-2.795989892179082,3,1.0,1.0444183955412959e-32,84.62000274658203,0.0,1.0
7.04,29.23870782734803,-7.505000727430751,-0.8652672522900047,0.8652672522900047,-0.8837339282035828,0.8837339282035828,2.7999677349307324,-2.7999677349307324,3,1.0,7.430315708176541e-33,84.62000274658203,0.0,1.0
7.0600000000000005,29.090947958027524,-7.499645813950338,-0.8620296724216112,0.8620296724216112,-0.8805339336395264,0.8805339336395264,2.8039266767086195,-2.8039266767086195,3,1.0,5.286156559370184e-33,84.62000274658203,0.0,1.0
7.08,28.94323538906008,-7.494312319632502,-0.8587922510337592,0.8587922510337592,-0.87733393907547,0.87733393907547,2.8078667994873574,-2.8078667994873574,3,1.0,3.7607353802507494e-33,84.62000274658203,0.0,1.0
