time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
4.58,52.00252639826786,-7.837559448410124,-1.2891864636070969,1.2891864636070969,-1.2829861640930176,1.2829861640930176,0.6632602932987304,-0.6632602932987304,3,1.0,2.2670426177873136e-15,87.15999603271484,0.0,1.0
4.6000000000000005,51.83862304520542,-7.8336420100937785,-1.2859705243679525,1.2859705243679525,-1.2797861099243164,1.2797861099243164,0.6646931352087674,-0.6646931352087674,3,1.0,1.612844282134698e-15,87.15999603271484,0.0,1.0
4.62,51.674800340765806,-7.8297381340876315,-1.2827546284755926,1.2827546284755926,-1.2765860557556152,1.2765860557556152,0.6661201950862936,-0.6661201950862936,3,1.0,1.1474273390385072e-15,87.15999603271484,0.0,1.0
4.64,51.511058004491005,-7.825847796667814,-1.2795387759574486,1.2795387759574486,-1.273386001586914,1.273386001586914,0.6675414716634551,-0.6675414716634551,3,1.0,8.163153212971081e-16,87.15999603271484,0.0,1.0
4.66,51.34739575641231,-7.821970974106939,-1.2763229668406852,1.2763229668406852,-1.270185947418213,1.270185947418213,0.6689569637125907,-0.6689569637125907,3,1.0,5.807519841237089e-16,87.15999603271484,0.0,1.0
4.68,51.18381331705051,-7.818107642667733,-1.2731072011522064,1.2731072011522064,-1.2669858932495117,1.2669858932495117,0.6703666700475603,-0.6703666700475603,3,1.0,4.1316493549049773e-16,87.15999603271484,0.0,1.0
4.7,51.02031040741592,-7.81425777861591,-1.2698914789186526,1.2698914789186526,-1.2637858390808105,1.2637858390808105,0.6717705895227749,-0.6717705895227749,3,1.0,2.939383223570776e-16,87.15999603271484,0.0,1.0
4.72,50.85688674900849,-7.810421358206943,-1.266675800166407,1.266675800166407,-1.2605857849121094,1.2605857849121094,0.673168721033399,-0.673168721033399,3,1.0,2.091168197696204e-16,87.15999603271484,0.0,1.0
4.74,50.693542063817794,-7.806598357701979,-1.2634601649215942,1.2634601649215942,-1.2573857307434082,1.2573857307434082,0.6745610635144484,-0.6745610635144484,3,1.0,1.4877217764561063e-16,87.15999603271484,0.0,1.0
4.76,50.53027607432313,-7.802788753356506,-1.2602445732100853,1.2602445732100853,-1.254185676574707,1.254185676574707,0.6759476159414256,-0.6759476159414256,3,1.0,1.0584113160194751e-16,87.15999603271484,0.0,1.0
4.78,50.36708850349348,-7.798992521429241,-1.257029025057499,1.257029025057499,-1.2509856224060059,1.2509856224060059,0.6773283773294821,-0.6773283773294821,3,1.0,7.52986567519756e-17,87.15999603271484,0.0,1.0
4.8,50.20397907478747,-7.7952096381799425,-1.2538135204892022,1.2538135204892022,-1.2477855682373047,1.2477855682373047,0.6787033467332158,-0.6787033467332158,3,1.0,5.3569794869308737e-17,87.15999603271484,0.0,1.0
4.82,50.04094751215332,-7.7914400798740475,-1.250598059530314,1.250598059530314,-1.2445855140686035,1.2445855140686035,0.68007252324694,-0.68007252324694,3,1.0,3.811121002851786e-17,87.15999603271484,0.0,1.0
4.84,49.8779935400288,-7.787683822778283,-1.2473826422057068,1.2473826422057068,-1.2413854598999023,1.2413854598999023,0.6814359060043784,-0.6814359060043784,3,1.0,2.7113494337271532e-17,87.15999603271484,0.0,1.0
4.86,49.71511688334107,-7.783940843167394,-1.2441672685400078,1.2441672685400078,-1.2381854057312012,1.2381854057312012,0.6827934941776594,-0.6827934941776594,3,1.0,1.9289379020691385e-17,87.15999603271484,0.0,1.0
4.88,49.552317267506645,-7.78021111732018,-1.2409519385576029,1.2409519385576029,-1.2349853515625,1.2349853515625,0.6841452869779028,-0.6841452869779028,3,1.0,1.372306123200098e-17,87.15999603271484,0.0,1.0
4.9,49.389594418431194,-7.77649462152476,-1.237736652282636,1.237736652282636,-1.2317852973937988,1.2317852973937988,0.6854912836554385,-0.6854912836554385,3,1.0,9.763010482361201e-18,87.15999603271484,0.0,1.0
4.92,49.226948062509365,-7.772791332077728,-1.2345214097390143,1.2345214097390143,-1.2285852432250977,1.2285852432250977,0.686831483498187,-0.686831483498187,3,1.0,6.94570781746752e-18,87.15999603271484,0.0,1.0
4.94,49.06437792662465,-7.769101225285589,-1.231306210950406,1.231306210950406,-1.2253851890563965,1.2253851890563965,0.6881658858324138,-0.6881658858324138,3,1.0,4.9413915075467396e-18,87.15999603271484,0.0,1.0
4.96,48.90188373814907,-7.765424277466728,-1.2280910559402463,1.2280910559402463,-1.2221851348876953,1.2221851348876953,0.6894944900224893,-0.6894944900224893,3,1.0,3.515458852076773e-18,87.15999603271484,0.0,1.0
4.98,48.73946522494305,-7.761760464950682,-1.2248759447317363,1.2248759447317363,-1.2189850807189941,1.2189850807189941,0.6908172954704505,-0.6908172954704505,3,1.0,2.5010062290693825e-18,87.15999603271484,0.0,1.0
5.0,48.577122115355095,-7.758109764081081,-1.2216608773478472,1.2216608773478472,-1.215785026550293,1.215785026550293,0.6921343016159289,-0.6921343016159289,3,1.0,1.7792932362580966e-18,87.15999603271484,0.0,1.0
5.0200000000000005,48.41485413822158,-7.754472151212356,-1.218445853811321,1.218445853811321,-1.2125849723815918,1.2125849723815918,0.6934455079362629,-0.6934455079362629,3,1.0,1.265844276514188e-18,87.15999603271484,0.0,1.0
5.04,48.252661022866356,-7.750847602717383,-1.2152308741446718,1.2152308741446718,-1.2093849182128906,1.2093849182128906,0.6947509139451981,-0.6947509139451981,3,1.0,9.005607955625907e-19,87.15999603271484,0.0,1.0
5.0600000000000005,48.09054249910055,-7.747236094983973,-1.212015938370189,1.212015938370189,-1.2061848640441895,1.2061848640441895,0.6960505191940378,-0.6960505191940378,3,1.0,6.40686821871676e-19,87.15999603271484,0.0,1.0
5.08,47.92849829722207,-7.7436376044187245,-1.2088010465099381,1.2088010465099381,-1.2029848098754883,1.2029848098754883,0.6973443232701642,-0.6973443232701642,3,1.0,4.558044340178026e-19,87.15999603271484,0.0,1.0
5.1000000000000005,47.76652814801543,-7.740052107442324,-1.2055861985857637,1.2055861985857637,-1.199784755706787,1.199784755706787,0.698632325798929,-0.698632325798929,3,1.0,3.242733812806617e-19,87.15999603271484,0.0,1.0
5.12,47.604631782751234,-7.736479580497994,-1.2023713946192895,1.2023713946192895,-1.196584701538086,1.196584701538086,0.6999145264404376,-0.6999145264404376,3,1.0,2.3069811954283523e-19,87.15999603271484,0.0,1.0
5.14,47.44280893318581,-7.732920000050301,-1.1991566346319213,1.1991566346319213,-1.1933846473693848,1.1933846473693848,0.7011909248915968,-0.7011909248915968,3,1.0,1.6412578223476348e-19,87.15999603271484,0.0,1.0
5.16,47.281059331560805,-7.729373342579442,-1.1959419186448494,1.1959419186448494,-1.1901845932006836,1.1901845932006836,0.7024615208854867,-0.7024615208854867,3,1.0,1.1676416109309195e-19,87.15999603271484,0.0,1.0
5.18,47.11938271060277,-7.7258395845903145,-1.1927272466790488,1.1927272466790488,-1.1869845390319824,1.1869845390319824,0.7037263141911511,-0.7037263141911511,3,1.0,8.30696379943025e-20,87.15999603271484,0.0,1.0
5.2,46.95777880352268,-7.722318702611183,-1.1895126187552822,1.1895126187552822,-1.1837844848632812,1.1837844848632812,0.7049853046128627,-0.7049853046128627,3,1.0,5.909831143310224e-20,87.15999603271484,0.0,1.0
5.22,46.796247344015406,-7.718810673193136,-1.1862980348941008,1.1862980348941008,-1.18058443069458,1.18058443069458,0.7062384919902985,-0.7062384919902985,3,1.0,4.204436781683689e-20,87.15999603271484,0.0,1.0
5.24,46.63478806625934,-7.7153154729125735,-1.1830834951158469,1.1830834951158469,-1.177384376525879,1.177384376525879,0.7074858761984479,-0.7074858761984479,3,1.0,2.9911664517157874e-20,87.15999603271484,0.0,1.0
5.26,46.47340070491576,-7.711833078371687,-1.1798689994406544,1.1798689994406544,-1.1741843223571777,1.1741843223571777,0.7087274571472704,-0.7087274571472704,3,1.0,2.1280083888637055e-20,87.15999603271484,0.0,1.0
