file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
bal_20260411_093847.csv,048c9554314c2c097bb3e4d0d814e05850f149fd7d627466c28fb971b86ac2cd,1682,1248,legacy/unspecified,unknown,False,25.264,357.0,7.47,75.40064102564102,1.42,0.0,,,,,
bal_20260411_094120.csv,4075822e2b1b6e9d251629f6ca22242354c07d9bbd949b4e64db6a42ea400e39,1450,1016,legacy/unspecified,unknown,False,22.176,1749.0,10.88,64.0748031496063,1.701,0.0,,,,,
bal_20260411_221653.csv,9a23e7534ae00ca388741e39b5654145670ee876db40213225a0c0864432dd3e,2346,1912,legacy/unspecified,unknown,False,38.221,23.0,12.2,74.84309623430963,1.24,0.0,,,,,
bal_20260411_223410.csv,59b3445d14ae7113e3ffe1cc1d7651cb4cb7bdb28ccc4a055ab4f642761b776a,3000,2566,legacy/unspecified,unknown,True,51.299,23.0,7.33,84.87918939984411,3.321,0.0,,,,,
bal_20260411_224627.csv,05a14fa1cde2d0518f65369797692a5415bea58d9b339c8062ade0496f3ae7dc,1867,1433,legacy/unspecified,unknown,False,28.641,23.0,11.39,70.2721563154222,2.721,0.0,,,,,
bal_20260411_225322.csv,60fd3d39188201300cf30af3c3046b8f173fae5db2009be5ffd6c6d8b93ab5d4,1811,1377,legacy/unspecified,unknown,False,27.52,22.0,9.6,69.57153231663035,4.9,0.0,,,,,
bal_20260411_225612.csv,db5f8b45d49da54c14fed5283b5335dc3177022ee7f13c8cf3cac5b47bb00f8c,990,556,legacy/unspecified,unknown,False,11.102,23.0,8.84,63.84892086330935,1.92,0.0,,,,,
bal_20260412_163928.csv,75ecf73269541948b40b3b353a0f2e1d393b4ad7f166c3680568e86d4e0df21e,2236,1802,legacy/unspecified,unknown,False,36.02,23.0,7.11,95.61598224195339,2.519,0.0,,,,,
bal_20260412_164317.csv,4757887d98f31425746aa670024b8491b0013d516a6877a848dea6a057cb6990,1907,1473,legacy/unspecified,unknown,False,29.441,24.0,12.93,84.18194161575018,2.782,3.1,,,,,
bal_20260412_164912.csv,e7f5191cc5366b7cc157c12a80c3f2d69cbad88b26063a08d7b62d47eaa50a49,3000,2566,legacy/unspecified,unknown,True,52.569,1301.0,10.98,86.98363211223695,4.521,0.0,,,,,
