time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
3.38,0.9758444316350242,-38.72575214930907,-0.5541333948683556,0.5541333948683556,-0.5841327905654907,0.5841327905654907,3.078929267245723,-3.078929267245723,3,1.0,9.05555485365521e-10,84.62000274658203,0.0,1.0
3.4,0.19167363370538149,-39.588384945378905,-0.5541331511647782,0.5541331511647782,-0.5841327905654907,0.5841327905654907,3.0789299293617023,-3.0789299293617023,3,1.0,6.442401987806444e-10,84.62000274658203,0.0,1.0
3.42,0.0,0.0,-0.5541330057421079,0.5541330057421079,-0.5841327905654907,0.5841327905654907,3.0789303244592423,-3.0789303244592423,4,1.0,4.5833241632608965e-10,84.62000274658203,0.0,1.0
3.44,0.0,0.0,-0.5541329189655685,0.5541329189655685,-0.5841327905654907,0.5841327905654907,3.0789305602216226,-3.0789305602216226,4,1.0,3.260718661345715e-10,84.62000274658203,0.0,1.0
3.46,0.0,0.0,-0.5541328671843175,0.5541328671843175,-0.5841327905654907,0.5841327905654907,3.078930700905641,-3.078930700905641,4,1.0,2.3197761733011788e-10,84.62000274658203,0.0,1.0
3.48,0.0,0.0,-0.5541328362854366,0.5541328362854366,-0.5841327905654907,0.5841327905654907,3.0789307848545358,-3.0789307848545358,4,1.0,1.650360565604561e-10,84.62000274658203,0.0,1.0
3.5,0.0,0.0,-0.5541328178474728,0.5541328178474728,-0.5841327905654907,0.5841327905654907,3.078930834948507,-3.078930834948507,4,1.0,1.1741175842092707e-10,84.62000274658203,0.0,1.0
3.52,0.0,0.0,-0.5541328068451807,0.5541328068451807,-0.5841327905654907,0.5841327905654907,3.0789308648404825,-3.0789308648404825,4,1.0,8.353035877613944e-11,84.62000274658203,0.0,1.0
3.54,0.0,0.0,-0.5541328002798989,0.5541328002798989,-0.5841327905654907,0.5841327905654907,3.078930882677684,-3.078930882677684,4,1.0,5.942608245637994e-11,84.62000274658203,0.0,1.0
3.56,0.0,0.0,-0.5541327963622672,0.5541327963622672,-0.5841327905654907,0.5841327905654907,3.078930893321418,-3.078930893321418,4,1.0,4.2277554267146695e-11,84.62000274658203,0.0,1.0
3.58,0.0,0.0,-0.5541327940245402,0.5541327940245402,-0.5841327905654907,0.5841327905654907,3.0789308996728466,-3.0789308996728466,4,1.0,3.007756057491285e-11,84.62000274658203,0.0,1.0
3.6,0.0,0.0,-0.554132792629573,0.554132792629573,-0.5841327905654907,0.5841327905654907,3.078930903462797,-3.078930903462797,4,1.0,2.1398107478524376e-11,84.62000274658203,0.0,1.0
3.62,0.0,0.0,-0.5541327917971688,0.5541327917971688,-0.5841327905654907,0.5841327905654907,3.0789309057242917,-3.0789309057242917,4,1.0,1.522327592099971e-11,84.62000274658203,0.0,1.0
3.64,0.0,0.0,-0.554132791300457,0.554132791300457,-0.5841327905654907,0.5841327905654907,3.0789309070738486,-3.0789309070738486,4,1.0,1.0830309643012924e-11,84.62000274658203,0.0,1.0
